ADDRESS,LOCALITY,STATE,ZIP CODE,COUNTY,STREET,TYPE,PRICE,BEDS,BATHS,BUILD DATE,LOT SIZE,SQFT,FEES,VIEW COUNT,DAYS POSTED,DESCRIPTION
        5922 102nd Ave      ,Grand Junction,MI, 49056 ,Allegan ,102nd Ave,Lot/Land,$39900,,,,5.00,,,21,26,Gorgeous! 5 acres just waiting for you to build your dream home. Land already has a well and driveway the rest is up to you!              
        5661 104th Ave      ,Grand Junction,MI, 49056 ,Allegan ,104th Ave,Single-Family Home,$259900,3,2,1997,12.50,1680,,19,43,If you seek seclusion and nature - you have found both in this nicely maintained 3 bedroom 2 full bath home with a full walkout basement. BONUS - over 12 mostly wooded acres with about 1000' frontage on the Middle Branch of the Black River right out your backyard! Great views of the river and woods from the deck off the spacious dining/sitting area. Silence is golden here - except for the sounds of nature's paradise. The walkout level has high ceilings and daylight windows so it can be easily finished for additional square footage. Two nice sized bedrooms and a master suite. Main floor laundry/mudroom off the side entrance is convenient and roomy too! Great property for a year round vacation get-a-way or living in it full time!              
        343 46th St      ,Grand Junction,MI, 49056 ,Allegan ,46th St,Single-Family Home,$250000,3,2,1980,32.82,1700,,23,143,Wonderful Move In Ready 3 Bedroom 1 1/2 Bath Ranch Home On 32.82 Acre Lot With Outbuilding. Main Floors Features: Open Floor Plan With Large Updated Kitchen With Stainless Steel Appliances Center Island Dining/Family Room With Wood Burning Stove 3/8' Hardwood Flooring Through Out Kitchen And Family Room Living Room 3 Bedroom 1 1/2 Baths. Lower Walkout Level Has Potential To Finish For More Living Space And Additional Full Bath. Outside Features 2 Outbuilding 32.82 Acre Private Lot With Oak Maple And Cherry Wood Stream On South Property Line.              
        343 46th St      ,Grand Junction,MI, 49056 ,Allegan ,46th St,Single-Family Home,$250000,3,2,1980,32.82,1700,,23,143,Wonderful Move In Ready 3 Bedroom 1 1/2 Bath Ranch Home On 32.82 Acre Lot With Outbuilding. Main Floors Features: Open Floor Plan With Large Updated Kitchen With Stainless Steel Appliances Center Island Dining/Family Room With Wood Burning Stove 3/8' Hardwood Flooring Through Out Kitchen And Family Room Living Room 3 Bedroom 1 1/2 Baths. Lower Walkout Level Has Potential To Finish For More Living Space And Additional Full Bath. Outside Features 2 Outbuilding 32.82 Acre Private Lot With Oak Maple And Cherry Wood Stream On South Property Line.              
        149 48th St      ,Grand Junction,MI, 49056 ,Allegan ,48th St,Lot/Land,$79000,,,,20.00,,,51,45,20 private acres! This beautiful setting has lots of wildlife and many options for home hunting and recreation. Only 15 minutes from South Haven one of the top 10 harbor towns in Michigan!              
        514 49th St      ,Grand Junction,MI, 49056 ,Allegan ,49th St,Single-Family Home,$249000,3,1,1965,20.00,1343,,72,184,Imagine yourself in your own private getaway on this magical twenty acres! The chalet has four bedrooms one bath and a full walk out basement. New vinyl siding installed on home in 2018. On a winter evening you will lounge in the main floor master bedroom enjoying the cozy wood stove while taking time to enjoy the hot tub on the deck. In the spring summer and fall enjoy the gardens and the front deck and the ponds complete with koi fish. Evenings sit on the deck of the studio and view the magnificent sunsets directly to the west and then the dance of the fireflies. Property has two barns a separate heated and air conditioned studio and blueberries galore. There are meadows woods a stream a gazebo and fruit trees. Gigantic oak trees that missed the clear cutting in Mich              
        207 50th St      ,Grand Junction,MI, 49056 ,Allegan ,50th St,Single-Family Home,$64000,3,1,1910,6.00,1289,,78,502,Looking for a home near both Ousterhout and Clear lakesand with a wooded 6 acre parcel that has a natural pondthen look here. This home needs some TLC however it has possibilities for you. There are 3 bedrooms and 1 bath.Home has a 2 1/2 car detached garage a nice size yard with pond. All sorts of wildlife can be seen in the yard song birds turkeys grouse deer ducks and geese.              
        508 50th St      ,Grand Junction,MI, 49056 ,Allegan ,50th St,Single-Family Home,$279000,3,1,2002,80.00,1500,,80,188,Home in the woods sits on 80 acres. This deep wooded acreage has hit the market. Beautiful bridges that cross Spring Brook Stream. This private setting has a Log Cabin Home with 3 bedrooms and 1500' living space. Recently added a clawfoot slipper-tub. Open Kitchen to living area. The long driveway through the tree's gives the home privacy & seclusion. No noises but mother nature herself. A few real nice man-made hunting stands to enjoy on the property. Great hunts acquired here. Secluded land with Log Cabin Home. Located near Osterhout Lake and on the edge of the Allegan woods. Thirty minutes from the beautiful Lake Michigan. Surrounded by several small inland lakes. Enjoy Michigan at its best. This property is loaded with Oak Trees. Magnificent Woods. Plenty of Trails throughout property. Home in the woods is year round living. This private wooded acreage is far enough from most towns but yet only 20-30 minutes to Allegan or South Haven.              
        420 52nd St      ,Grand Junction,MI, 49056 ,Allegan ,52nd St,Single-Family Home,$164900,4,2,1999,10.10,1560,,26,120,Move In Ready 4 Bedroom 2 Bath Manufactured Home On 10.1 Acre Lot With Newer 30x48 Pole Barn With 12' Covered Area. Main Floor Features: Open Floor Plan Large Kitchen With Center Island Dining Room With Slider To Large Deck Living Room With Fireplace Master Bedroom Suite 3 Additional Bedrooms Laundry. Outside Features: Newly Built 30x48 Pole Barn 10.1 Acre Lot 5'' Well.              
        13939 52nd St      ,Grand Junction,MI, 49056 ,Allegan ,52nd St,Single-Family Home,$119000,2,1,1902,1.37,1005,,42,246,Want to own a piece of history with memories of the one room schoolhouses while so many have disappeared this one remains. It has been converted into adorable 2 bed 1 bath cottage. A getaway from the outside world with 9ft ceilings and a gorgeous deck.              
        476 53rd St      ,Grand Junction,MI, 49056 ,Allegan ,53rd St,Lot/Land,$15900,,,,2.60,,,115,,Wooded 2.6 acre parcel sandy soil located on a paved public road near Upper Scott Lake. Manufactured homes are allowed by the township. Seller may consider land contract terms with 25% down.              
        476 53rd St      ,Grand Junction,MI, 49056 ,Allegan ,53rd St,Lot/Land,$15900,,,,2.60,,,118,107,Wooded 2.6 acre parcel sandy soil located on a paved public road near Upper Scott Lake. Manufactured homes are allowed by the township. Seller may consider land contract terms with 25% down.              
        206 55th St      ,Grand Junction,MI, 49056 ,Allegan ,55th St,Lot/Land,$234000,,,,65.00,,,16,,Great Opportunity to purchase 65 Acres of good recreational or hunting land. This parcel is rolling and has dense woods with some low or wet areas too. This property would be great for hunting camping and even building your dream home. Split available call agent for details.              
        54 Saint      ,Grand Junction,MI, 49056 ,Allegan ,Saint,Lot/Land,$13500,,,,3.00,,,858,128,This property has been surveyed and is on a paved road.              
        1150 10th St      ,Martin,MI, 49070 ,Allegan ,10th St,Single-Family Home,$259900,5,5,1995,11.00,3088,,65,521,Wonderful 5 Bedroom Home On 11 Acre Lot With Large Pole Barn And In Law Suite. Main Floor Features Large Kitchen Dining Room Living Room Family Room Study. Upstairs Features Master Suite With Jetted Tub 3 Additional Bedrooms Full Bath. Lower Level Is Finished With In Law Suite. Full Kitchen Bathroom Living Room And Bedroom Laundry And Separate Garage Entrance. Outside Features 11 Acre Lot With Pond Large Pole Barn W/Electric Water And Concrete Floor. Home Is Currently Rented. UpperLevel Rents For $1200 And Lower Level Rents For $800 Per Month.              
        1328-1332 12th St      ,Martin,MI, 49070 ,Allegan ,12th St,Single-Family Home,$959000,4,4,2005,113.00,3709,,37,73,This private Oasis is for sale for a once in a lifetime opportunity to own your dream home. The possibilities truly are endless. It has absolutely everything your heart desires. Privacy? Check! 111 acres with wooded hills rolling fields a bubbling stream a stocked pond massive outbuildings in excellent condition. A 2005 built 4 bed 3.5 bath home with massive master suite featuring huge walk-in cedar closet and balcony overlooking your ingound pool gazebo and hottub! Included here- an attached two car garage and another detached over-sided two car garage with spacious dog run. along the trail hugging the pond you will find the large outbuildings for your toys horses hobbies and storage. Water is already available. Moving along your scenic grounds you come to a quaint log home build in 2006. A Guest Home? A Hunting lodge? A Man Cave? An income producing unit? Imagine the possibilities this nearly 1000 sq.ft home provides.              
        1332 12th St      ,Martin,MI, 49070 ,Allegan ,12th St,Single-Family Home,$549000,1,1,1996,110.00,936,,37,57,A newly constructed Log Cabin on 110 gloriously private acres. The possibilities for this home know few bounds. Whether you love the outdoors and simply want to retreat home from a long day to your cabin in the rolling woods with trails upon trails of peaceful delight surrounded by nature a quiet creek and a stocked pond... Or you have horses dogs or other livestock to house within the massive outbuildings and let roam throughout the grounds... Or you want to start or grow a farming or hunting or camping or business. This is that dream property! Do you prefer to take over an existing business? That too is possible with this amazing property. This is a one of a kind opportunity to have something truly magnificent with more acres and options than you could imagine or hope to find again.              
        1387-1389 106th Ave      ,Otsego,MI, 49078 ,Allegan ,106th Ave,Single-Family Home,$240000,4,2,2004,2.83,6656,,12,31,Let someone else make your payment! This is your opportunity to live in a beautiful 1600 Sq. Ft. Duplex with full finished basement and attached 24x24 garage with drain and water. 2 bedrooms and full bath on the main level. Family room bedroom and full bath on the lower level with garden windows. Everything has been freshly painted and replaced; doors carpet flooring toilets and new stainless steel appliances. Great opportunity for owner. The West Unit has been rented to the same tenants for the past 2.5 years for $1200.00 a month. Tenants would like to continue to live in the home and are on a month to month lease currently.              
        1648 108th Ave      ,Otsego,MI, 49078 ,Allegan ,108th Ave,Single-Family Home,$425000,5,4,1994,16.45,3498,,5,17,This Single-Family Home is located at 1648 108th Ave Otsego MI is currently for sale and has been listed on Trulia for 5 days. This property is listed for $425000. 1648 108th Ave5 beds 4 baths and approximately 3498 square feet. The price per square foot is $121. The property has a lot size of 16.45 acres sqft and was built in 1994. 1648 108th Ave is in Otsego MI.              
        2401 108th Ave      ,Otsego,MI, 49078 ,Allegan ,108th Ave,Single-Family Home,$2900000,6,9,2005,60.50,10639,,149,409,Equestrian estate property custom-built gourmet kitchen Sub-Zero contemporary touches sunroomtwo main floor masters with adjoining spa-style bath with private deckprivate office sauna steam showers 2 bedrooms up with private decks and baths lower level # seat theater exercise room # stables Brazilian cherry hardwood floor wraparound deck overlooking Kalamazoo River on one side and ?? acre pond riding trails??equestrian riding barn              
        1410 116th Ave      ,Otsego,MI, 49078 ,Allegan ,116th Ave,Single-Family Home,$160000,1,1,1900,5.10,1687,,75,334,If you are looking for a project this wonderful 3 BR home is for you! Most of the updating has been completed! Large family living center/dining room maple cabinetry & corian counters in kitchen plus a convenient main floor laundry. 30x48 pole barn all on 5 acre corner lot!              
        1013 18th St      ,Otsego,MI, 49078 ,Allegan ,18th St,Single-Family Home,$179900,3,1,1998,6.00,1740,,,,Located on a quiet street this home sits on a very private 6 acres with abundant wildlife and a small pond. The main level features an open concept kitchen living room and dining area 2 bedrooms and a full bathroom. In the lower level is a walkout that has a large living room the 3rd bedroom and a laundry room that is roughed in for a a second bathroom. The seller's just installed a brand new roof (2018) and a gutter system on the home.              
        1184 18th St      ,Otsego,MI, 49078 ,Allegan ,18th St,Single-Family Home,$22500,2,1,1968,0.43,1016,,43,282,Great potential for the person looking for a flip home. Sold AS IS no contingencies on inspections              
        714 Bayberry Ln      ,Otsego,MI, 49078 ,Allegan ,Bayberry Ln,Condo,$165000,4,2,1991,,2463,,45,271,Move-in Ready!!Beautiful Bayberry Condo! Conveniently located close to 131 and Otsego Schools. Main floor living includes kitchen with granite countertops snack bar pantry eating area & main floor laundry. Features an open floor plan with cathedral ceilings a great room with gas log fireplace with French doors leading to patio main floor master bedroom & full bathroom. The upper level has a bedroom suite including a private bathroom and walk-in closet. Lower level daylight windows features 2 more bedrooms large family room with bar and utility/storage area. 1 car attached garage. This condo is move in ready and features lots of living space with 4 bedrooms 2 bathrooms.              
        418 E Franklin St      ,Otsego,MI, 49078 ,Allegan ,E Franklin St,Multi-Family,$109900,,,1920,1650,1666,,127,471,This City of Otsego duplex could easily be turned back into a single family dwelling or keep it the way it is and have the tenant make most of your payment! Lower unit offers living room kitchen two bedrooms full bath and basement for storage. Upper unit offers living room kitchen two bedrooms and full bath. If you open it back up to a single family it could be 4 bedrooms and 2 baths single family home. The double lot provides a great yard and a pole barn serves as your two car garagebut has a ton of additional space as a workshop or additional storage.              
        421 E Hammond St      ,Otsego,MI, 49078 ,Allegan ,E Hammond St,Single-Family Home,$99500,3,1,1880,8102,1292,,20,420,CHARACTER AND CHARM is offered in this 3 bedroom  1 bath Otsego home. Large kitchen with ample storage and working space appliances included. Open dining and living room area. Large main floor bathroom with walk in shower and whirlpool tub. Upstairs features 2 additional bedrooms and an open landing area with built in shelves. 2 car garage/man cave. Conveniently located to schools dining and shopping.              
        1431 E M 89      ,Otsego,MI, 49078 ,Allegan ,E M 89,Lot/Land,$395000,,,,13.00,,,111,,Great Development property right on M-89 business corridor and less than a mile from US 131              
        214 E Orleans St      ,Otsego,MI, 49078 ,Allegan ,E Orleans St,Multi-Family,$167300,,,1900,8712,2969,,28,143,Classic Historic 4 Unit Italianate located in beautiful City of Otsego. Main floor unit is perfect for owner occupied with 2 bedroom large living room basement & 2 car garage + nice yard. Two 1 bedrooms + 1 studio gross potential rent of $27000+ per year/$2260 per month. Tenant pays electric owners pay heat and water and garbage. Don't wait long this investment opportunity wont last long.              
        1110 Howard St      ,Otsego,MI, 49078 ,Allegan ,Howard St,Single-Family Home,$149000,3,2,1988,1.80,1379,,50,189,Great location just outside Otsego City limits and close to schools. This home sits on just over 1.5 acres and has a 2 car detached garage with lean-to. This home has 3 bedrooms and 2 full baths. Kitchen offers eating area and access to 3 season room. Basement has 2 egress windows and has drywall hung but needs to be finished. Finishing this area would offer an additional bedroom bathroom and family room area.              
        628 Lincoln Rd #89      ,Otsego,MI, 49078 ,Allegan ,Lincoln Rd,Lot/Land,$215000,,,,26.86,,,175,108,This Lot/Land is located at 628 Lincoln Rd 89 Otsego MI is currently for sale and has been listed on Trulia for 175 days. This property is listed for $215000. The property has a lot size of 26.86 acres sqft. 628 Lincoln Rd 89 is in Otsego MI.              
        1090 N 16th St #2      ,Otsego,MI, 49078 ,Allegan ,N 16th St,Lot/Land,$126000,,,,41.90,,,57,109,41.9 acres. Not far from 131 Grand Rapids or Kalamazoo. Great tillable farmland ready for you to harvest a profit! Has nice woods in back which might make a nice spot for building a house. Also there is a tree line on the South side that if you made an opening in the treeline it opens up to the other 7 acres to farm. There is a farmers access drive to the acreage on the South side of the home and 5 acres which is also for sale.              
        1658 Prairiewood Ct #18      ,Otsego,MI, 49078 ,Allegan ,Prairiewood Ct,Lot/Land,$32500,,,,0.78,,,408,307,Spacious building site in restricted plat in desirable Otsego school system just minutes from town & schools. Ideal location centrally located with an easy commute to Kalamazoo Grand Rapids or Holland for employment or recreation. Older storage building approx 25x40' currently on premises may be able to be converted into a workable garage by changing siding etc.              
        1662 Prairiewood Ct #17      ,Otsego,MI, 49078 ,Allegan ,Prairiewood Ct,Lot/Land,$24900,,,,0.48,,,408,,Partially wooded building site with Pine Trees bordering rear all ready for your new home ! Restricted plat in desirable Otsego school system just minutes from town & schools. Ideal location centrally located with an easy commute to Kalamazoo Grand Rapids or Holland for employment or recreation.              
        1666 Prairiewood Ct #16      ,Otsego,MI, 49078 ,Allegan ,Prairiewood Ct,Lot/Land,$34900,,,,0.46,,,408,52,Cleared building site with nice lawn & many nice trees all ready for your new home ! Restricted plat in desirable Otsego school system just minutes from town & schools. Ideal location centrally located with an easy commute to Kalamazoo Grand Rapids or Holland for employment or recreation.              
        1667 Prairiewood Ct #1      ,Otsego,MI, 49078 ,Allegan ,Prairiewood Ct,Lot/Land,$12900,,,,0.46,,,408,36,This lightly wooded parcel is an unusual shape letting you use your imagination in house placement & design. Natural gas & sewer hook-up available. In the heart of activity near 2 ski resorts not far from Lake Michigan and an easy commute to Kalamazoo Grand Rapids & Holland for employment & entertainment.              
        1679 Prairiewood Ct #4      ,Otsego,MI, 49078 ,Allegan ,Prairiewood Ct,Lot/Land,$17900,,,,0.46,,,408,,This lightly wooded parcel is an unusual shape letting you use your imagination in house placement & design. Natural gas & sewer hook-up available.In the heart of activity near 2 ski resorts not far from Lake Michigan and an easy commute to Kalamazoo Grand Rapids & Holland for employment & entertainment.              
        1695 Prairiewood Ct      ,Otsego,MI, 49078 ,Allegan ,Prairiewood Ct,Single-Family Home,$335000,5,3,2003,0.85,3252,,6,24,Come see this outstanding 4 BR 3 bath open floor plan ranch in a beautiful Otsego setting. Stunning hardwood floors extenuate a vaulted main floor with a den and 2 BRs including a beautiful Master Suite with a private bath and sliders to a private deck! The kitchen is nicely sized and opens into a breakfast area with a slider off the kitchen which accesses another wonderful deck/eating area. A main floor laundry and a second full bathroom complete the main level. The garden lower level has beautiful new flooring throughout. It is dominated by a large rec room with pool table a third BR a fourth BR which can double as a theater room a full walk in sauna and a third full bath. This is truly a gorgeous home in a beautiful and quiet cul de sac neighborhood. Schedule your showing today!              
        16 S 16th St      ,Otsego,MI, 49078 ,Allegan ,S 16th St,Lot/Land,$19900,2,,1920,2.10,788,,87,178,1.8 Acres building site only 5 minutes to US-131. Gently rolling land nice views near Schnabble Lake.              
        214 S 16th St      ,Otsego,MI, 49078 ,Allegan ,S 16th St,Lot/Land,$25000,,,,2.27,,,1307,68,Incredible 2 acre + property to build your perfect home. This site is not a part of the Southpointe Trails Neighborhood and will not pay association dues. Seller is a licensed real estate agent in Michigan.              
        220 S 16th St      ,Otsego,MI, 49078 ,Allegan ,S 16th St,Lot/Land,$20000,,,,1.51,,,1307,67,Incredible acre + property to build your perfect home. This site is not a part of the Southpointe Trails Neighborhood and will not pay association dues. Seller is a licensed real estate agent in Michigan.              
        611 W Allegan St      ,Otsego,MI, 49078 ,Allegan ,W Allegan St,Multi-Family,$129900,,,1900,0.35,2340,,161,177,Each unit has separate heat gas and electric meters. Wide drive with turn-around no backing out on M-89. New roof 2001. New septic 2003. Unit #1 has 2 bedrooms kitchen with eating area ceiling fans and access to Mi basement. Unit #2 has 1 bedroom. Unit #3 is upstairs with tongue & groove enclosed stairway 2 bedrooms and kitchen with eating area. Ground level units have front and rear porches. Unit 1 has gas forced-air furnace other 2 have natural gas space heaters.              
        714 W Franklin St      ,Otsego,MI, 49078 ,Allegan ,W Franklin St,Single-Family Home,$75000,3,1,1949,0.45,1166,,16,200,Home sits on almost a half acre lot on a quiet dead end street in Otsego Township. From the covered front porch walk in to find fresh new carpet throughout the living/dining room area. Spacious kitchen  large main floor bathroom with laundry hookup and main floor master. One bedroom upstairs with a possibility of another bedroom or office space. Downstairs you will find plenty of room for storage and the third bedroom with an egress window. New gutters and exterior freshly painted!              
        211 W Morrell St      ,Otsego,MI, 49078 ,Allegan ,W Morrell St,Lot/Land,$14900,3,,2016,10393,1260,,19,61,Buildable lot in the City of Otsego.              
        230 W Morrell St      ,Otsego,MI, 49078 ,Allegan ,W Morrell St,Single-Family Home,$109900,2,1,1900,0.27,1311,,20,76,Traditional home in the City of Otsego. Home offers central air one year old carpet fenced backyard attached one car garage and more!              
        248 W Orleans St      ,Otsego,MI, 49078 ,Allegan ,W Orleans St,Multi-Family,$149900,,,1900,8380,2400,,6,36,Fantastic opportunity for an investor or owner occupant with great cash flow. Unit #1 lower main floor unit that features a great kitchen with oak cabinets & a built in corner table large formal dining room huge living room with fireplace & lots of windows 2BR nice front sun porch. Two upstairs 1 BR 1 Bath apartments. Two Car Garage Storage Shed & full basement. Very well maintained with clean basement for additional storage. Square footages are approximate. Located in the heart of Otsego close to US 131.              
        317 W Orleans St      ,Otsego,MI, 49078 ,Allegan ,W Orleans St,Single-Family Home,$114900,2,1,1900,10624,900,,12,28,Don't be fooled this house is bigger than it looks and has many options. This home is currently a 2 bedroom home with the 2 bedrooms being upstairs but there is a space on the main level that used to be a main floor master bedroom but wall was taken out so now you have a huge living room. There are hardwood floors privacy fenced backyard main floor laundry and nice breezeway leading to extra large 2 car plus garage.              
        328 102nd Ave      ,Plainwell,MI, 49080 ,Allegan ,102nd Ave,Single-Family Home,$239900,3,3,1993,2.32,2847,,28,403,With nature at your fingertips this three bedroom two bath home located in the Plainwell school district is a nature lovers paradise. Enter into this open concept living space and enjoy all the other wildlife from each room. Main floor offers living room dining area kitchen (appliances stay with the home) half bath and laundry room. Second floor is an open loft master bedroom complete with a reading area full bath with whirlpool tub and separate shower. The walk in closet is a huge plus. Lower level features two bedrooms with egress windows second living space with walkout to a deck full bath storage room and utility room. There are flowers gardens a fire pit with seating surrounding and plenty of exploring on 2.318 wooded acres.              
        1193 103rd Ave      ,Plainwell,MI, 49080 ,Allegan ,103rd Ave,Single-Family Home,$169000,3,2,1950,1.00,1776,,99,549,Ranch home in Gun Plain Township setting on 1 acre. This 3 bedroom 2 bath home has a lot to offer. Kitchen features ceramic flooring stainless steel appliances snack bar & pantry. Nice cabinets w/new counter top. Living room has hardwood floor under carpet & small eating area. Master bedroom has an office area attached and is very spacious w/double closets & slider to backyard. Full bath has been updated. There is a room added off the kitchen that has sliders to the fenced backyard & pool. Two car garage was finished and could be fourth bedroom family room play room etc. In ground pool is 20 x 40 and pool house/shed. Pole barn is 24 x 45 & would be great for all your toys pool parties or hobbies. There is a whole house generator. Seller is offering a one year home warranty through              
        1252 106th Ave      ,Plainwell,MI, 49080 ,Allegan ,106th Ave,Single-Family Home,$134900,3,1,1955,0.55,1200,,82,824,THIS IS NOT A Manufactured home. Great loacation. They home has been updated and has much to offer. Open kitchen with eating area. Bedrooms are good size. Enjoy the 3 season room off the back. Main floor laundry. Lots of cupboards and storage. Attach 2 car garage and This home also has a 2 stall heated work shop.              
        10th St      ,Plainwell,MI, 49080 ,Allegan ,10th St,Lot/Land,$90000,,,,2.26,,,26,10,Excellent location close to Plainwell City limits. High traffic area and close to 131 expressway.City water hookup on property. Sewer available in street. Two parcels included. Can be sold separately. Each parcel is over one acre. Seller reserves the right to approve or deny the type of business to be located on property.              
        66 10th St      ,Plainwell,MI, 49080 ,Allegan ,10th St,Lot/Land,$55000,,,,2.37,,,63,178,Commercial land just south of Plainwell among other businesses. Location with easy access to Kalamazoo Grand Rapids Battle Creek and Holland area's of good growth. Property is flat and cleared would need little prep for development.              
        527 10th St      ,Plainwell,MI, 49080 ,Allegan ,10th St,Multi-Family,$124900,,,1940,0.69,800,,44,274,This Multi-Family is located at 527 10th St Plainwell MI is currently for sale and has been listed on Trulia for 44 days. This property is listed for $124900. 527 10th St and approximately 800 square feet. The price per square foot is $156. The property has a lot size of 0.69 acres sqft and was built in 1940. 527 10th St is in Plainwell MI.              
        777 10th St      ,Plainwell,MI, 49080 ,Allegan ,10th St,Lot/Land,$207300,,,,20.73,,,12,12,This Lot/Land is located at 777 10th St Plainwell MI is currently for sale and has been listed on Trulia for 12 days. This property is listed for $207300. The property has a lot size of 20.73 acres sqft. 777 10th St is in Plainwell MI.              
        1118 11th St      ,Plainwell,MI, 49080 ,Allegan ,11th St,Lot/Land,$55000,,,,10.00,,,52,,10 Acres wooded a perfect place to build your dream house. West of US 131 north of Plainwell. (the adjacent 10 acres is also available)              
        1128 11th St      ,Plainwell,MI, 49080 ,Allegan ,11th St,Lot/Land,$55000,,,,10.00,,,52,88,10 Acres wooded a perfect place to build your dream house. West of US 131 north of Plainwell. (the adjacent 10 acres is also available)              
        1180 11th St      ,Plainwell,MI, 49080 ,Allegan ,11th St,Lot/Land,$19900,,,,1.43,,,49,3,It's a great lot for a new house. There are 4 lots side by side. Buyers could by 123 or all 4. Total acres 5.89. There are also 2 side by side 10 acre parcels). West of US 131 north of Plainwell              
        230 2nd Ave      ,Plainwell,MI, 49080 ,Allegan ,2nd Ave,Single-Family Home,$569900,6,7,1995,0.95,7852,,251,635,Fabulous custom built 2 story home in Plainwell on just under an acre lot! This spectacular home features over 7000 sq ft with 6 bedrooms & 6.5 baths. Perfect for frequent guests/entertaining and family! The spacious main level showcases beautiful office with custom built cabinets master suite with 2 full baths/dressing area/multiple closets stunning great room with high ceilings & fireplace large laundry room half bath formal dining plus amazing kitchen with an abundance of cabinets & counter space. 2 different stairways will take you to the 2nd floor or take the elevator for easy access. 2nd level offers 5 bedrooms 3 full baths (2 are private suites) 2 additional rooms that could be craft/hobby room/bedrooms. If you like to entertain you'll appreciate the finished basement which              
        15 4th St      ,Plainwell,MI, 49080 ,Allegan ,4th St,Lot/Land,$89000,,,,15.15,,,355,367,Picturesque wooded building site  lane has been cut into property. 500' of road frontage.              
        569 9th St      ,Plainwell,MI, 49080 ,Allegan ,9th St,Lot/Land,$12000,,,,0.36,,,49,23,Country building lot! Located just down a quiet country road but still close to town in the Plainwell School district. Property has been surveyed and has had a perc test both of which are attached to the listing.              
        1050 Bloomfield Ave      ,Plainwell,MI, 49080 ,Allegan ,Bloomfield Ave,Single-Family Home,$110000,3,1,1952,10018,1232,,2,12,This solid home is a gem in the rough. Great location close to everything in Plainwell ! With some updated decorating this home can be enjoyed for years ...              
        323 Brigham St      ,Plainwell,MI, 49080 ,Allegan ,Brigham St,Single-Family Home,$159000,3,2,1920,0.32,1890,,16,212,This Single-Family Home is located at 323 Brigham St Plainwell MI is currently for sale and has been listed on Trulia for 16 days. This property is listed for $159000. 323 Brigham St3 beds 2 baths and approximately 1890 square feet. The price per square foot is $84. The property has a lot size of 0.32 acres sqft and was built in 1920. 323 Brigham St is in Plainwell MI.              
        284 Doster Rd      ,Plainwell,MI, 49080 ,Allegan ,Doster Rd,Single-Family Home,$257500,4,3,1996,0.46,2271,,26,222,Lake Doster Golf Course Plainwell. Attractive updated ranch walkout overlooking the 14th green. Facing West you'll enjoy evening sunsets from the deck or 3 season Sun Room. Home has an open floor plan hardwood floor main floor master suite newly remodeled master bath additional guest bedroom & bath. Sunny newly updated Kitchen provides much needed counter space with Quartz counters White cabinetry & new Stainless Steel appliances. The living area features a gas fireplace vaulted ceiling & slider to the deck. The walkout level is equally updated w/ built in book shelves living area full bath & 2 additional bedrooms each with full window. Ample storage space too! Attached 2 car garage and paved driveway. This is a house that will surely please. Call for your tour!              
        503 Foxmoor Dr #27      ,Plainwell,MI, 49080 ,Allegan ,Foxmoor Dr,Lot/Land,$17900,,,,0.40,,,119,14,Building site in Plainwell Premiere housing development. Not your average development. Lots of amenities including tennis/basketball courts shaded playground picnic area and even a ball field for the kids. Halfway between Grand Rapids and Kalamazoo. Close to shopping and 131 E-way. Quality housing throughout this development.              
        530 Foxmoor Dr      ,Plainwell,MI, 49080 ,Allegan ,Foxmoor Dr,Lot/Land,$19900,,,,0.42,,,96,64,Building site in Plainwell Premierehousing development. Lots of amenities including tennis/basketball courts shaded playground picnic area and even a ball field for the kids. Halfway between Grand Rapids and Kalamazoo. Close to shopping and 131 E-way. Quality housing throughout this development.              
        334 Harmony Ln      ,Plainwell,MI, 49080 ,Allegan ,Harmony Ln,Mobile/Manufactured,$49000,3,1,1965,1.80,1080,,2,28,Very private setting close to Walmart. 1965 mobile home with build over to enlarge the living room and add 3 season porch. Home is at end of a private drive.Metal roof installed in 2017 (per owner) 2 car garage.1.8 acres with woods ; a 40x24' pole building with natural gas fireplace and cable for television. (1) 10' overhead door. 2nd building is 16x16'.              
        115 Hicks Ave      ,Plainwell,MI, 49080 ,Allegan ,Hicks Ave,Single-Family Home,$242900,3,4,1874,0.37,2200,,72,351,This historic statuesque home sitting on the Kalamazoo river in Plainwell has everything a new home offers with all the beauty of yesteryear. Updated kitchen with cherry cupboards granite counters all appliances full bath down has laundry & heated floor  also a powder room (1/2 bath formal dining room & fireplace in sitting room. Hardwood floors down wide plank floors up under carpet. All natural woodwork formal entry full front porch 2 side porches patio plus large deck at river'sedge for lazy summer evenings. 2 car garage central air & underground sprinkling!              
        317 Horseshoe Ct      ,Plainwell,MI, 49080 ,Allegan ,Horseshoe Ct,Single-Family Home,$285000,4,3,1967,0.26,2084,,101,567,Don't miss out on this well maintained 3 bedroom raised Ranch with 65' of frontage on Lake Doster. This home has had many improvements including new siding windows dock/boat lift which is included. The Kitchen was gutted down to the studs in 2013 and has custom Hickory Cabinets and includes the appliances. There is a gas fireplace on the main floor and a wood fireplace in the lower level family room. You'll love hanging out on your deck that has maintenance free Teak railing that spans almost the whole back of the house with sliders off the dining area and the master bedroom suite. There's also another deck in the backyard which is great for entertaining. The lower includes an enclosed porch with a hot-tub! Beautifully landscaped yard. Don't miss out on this rare opportunity!              
